Debtor,Age at enrollment,Curricular units 1st sem (approved),Curricular units 2nd sem (enrolled),Curricular units 1st sem (enrolled),Curricular units 2nd sem (approved),Target
0,20,0,0,0,0,Dropout
0,19,6,6,6,6,Graduate
0,19,0,6,6,0,Dropout
0,20,6,6,6,5,Graduate
0,45,5,6,6,6,Graduate
1,50,5,5,5,5,Graduate
0,18,7,8,7,8,Graduate
0,22,0,5,5,0,Dropout
0,21,6,6,6,6,Graduate
1,18,5,6,6,2,Dropout
0,18,6,6,6,5,Graduate
0,18,7,8,8,7,Graduate
0,19,0,6,6,0,Dropout
0,21,6,6,6,5,Graduate
0,18,4,5,5,5,Graduate
0,20,5,6,6,0,Dropout
0,18,1,6,6,2,Enrolled
0,18,7,8,7,8,Graduate
0,20,4,5,5,4,Graduate
0,18,6,7,7,6,Enrolled
0,21,0,0,0,0,Graduate
0,20,7,8,7,8,Enrolled
0,18,7,8,8,7,Graduate
0,19,6,6,6,6,Graduate
0,19,6,8,7,7,Graduate
1,18,5,6,6,4,Enrolled
0,21,6,6,6,6,Graduate
0,18,5,5,5,4,Enrolled
0,20,5,5,5,5,Graduate
0,19,6,7,7,6,Enrolled
0,21,5,6,6,5,Enrolled
0,20,6,6,6,4,Graduate
0,18,3,5,5,2,Enrolled
0,19,6,6,6,6,Graduate
0,34,5,5,5,5,Graduate
1,37,0,7,7,1,Dropout
0,43,0,5,5,0,Dropout
0,55,1,5,5,2,Dropout
0,39,5,5,5,5,Graduate
1,20,3,6,6,3,Dropout
1,18,4,5,6,0,Dropout
0,22,5,5,5,5,Graduate
0,22,5,8,7,7,Graduate
0,20,4,6,6,5,Dropout
0,29,0,5,5,0,Dropout
0,24,2,5,5,3,Enrolled
0,18,6,6,6,5,Graduate
0,22,6,8,7,7,Graduate
0,21,6,6,6,6,Graduate
0,19,5,6,6,6,Graduate
0,24,6,6,6,6,Graduate
0,19,6,8,8,6,Enrolled
0,20,4,6,6,3,Enrolled
0,19,5,5,5,5,Graduate
0,27,5,5,5,5,Dropout
0,18,7,8,7,8,Graduate
0,39,0,6,6,0,Dropout
0,27,5,11,6,10,Dropout
0,18,8,8,8,8,Graduate
0,18,0,0,0,0,Enrolled
0,18,6,8,7,7,Graduate
0,21,6,6,6,6,Graduate
0,19,0,0,0,0,Enrolled
0,19,5,6,6,1,Enrolled
0,24,0,6,6,0,Enrolled
0,29,5,8,7,5,Dropout
0,19,0,0,0,0,Graduate
0,23,6,6,6,6,Graduate
1,19,5,5,5,4,Dropout
0,26,6,6,6,5,Enrolled
0,18,0,5,5,0,Enrolled
0,24,7,8,7,8,Graduate
0,19,0,0,0,0,Dropout
0,18,3,6,6,1,Dropout
0,18,6,6,6,3,Graduate
1,18,3,5,5,3,Dropout
0,21,4,6,6,1,Dropout
1,19,6,6,6,6,Graduate
0,22,7,8,7,8,Graduate
0,33,6,6,6,6,Graduate
0,20,5,6,6,5,Dropout
0,35,0,5,1,0,Dropout
1,24,6,12,12,10,Dropout
0,18,5,5,5,3,Enrolled
0,33,6,6,6,5,Graduate
0,22,7,8,8,7,Graduate
0,25,4,5,5,5,Graduate
0,20,6,6,6,5,Graduate
0,23,4,5,5,5,Enrolled
1,18,2,5,5,0,Enrolled
0,24,0,7,7,0,Dropout
0,21,6,6,6,6,Graduate
0,26,2,6,6,0,Dropout
0,39,3,6,6,0,Dropout
0,44,8,6,8,6,Graduate
0,19,5,5,5,3,Enrolled
0,18,6,6,6,6,Graduate
0,18,7,8,7,8,Graduate
0,19,5,5,5,5,Enrolled
1,19,4,7,7,0,Dropout
0,21,8,9,10,5,Dropout
0,20,0,0,0,0,Graduate
0,36,0,6,6,0,Dropout
0,43,18,13,18,13,Graduate
0,19,0,6,6,0,Dropout
1,20,10,11,10,11,Graduate
0,19,0,6,6,0,Dropout
0,20,4,6,6,4,Dropout
0,20,6,7,7,5,Dropout
0,20,6,7,7,3,Enrolled
0,18,6,6,6,6,Graduate
0,18,3,5,5,3,Enrolled
0,19,5,5,5,5,Graduate
0,18,6,6,6,6,Graduate
0,18,6,7,7,6,Dropout
0,20,6,7,7,7,Enrolled
0,20,2,6,6,4,Enrolled
0,20,3,5,5,3,Enrolled
0,18,5,5,5,5,Graduate
0,18,5,5,5,5,Graduate
0,21,3,6,6,2,Dropout
0,19,5,5,5,4,Graduate
0,19,0,0,0,0,Dropout
0,19,5,5,5,5,Graduate
0,19,6,6,6,6,Graduate
0,19,5,7,7,0,Dropout
0,20,6,6,6,5,Graduate
0,18,5,6,6,5,Enrolled
0,18,6,6,6,6,Graduate
0,19,7,8,7,8,Graduate
0,18,7,8,7,7,Dropout
0,18,6,6,6,6,Graduate
0,19,5,5,5,5,Graduate
0,19,5,7,7,0,Dropout
0,20,9,7,9,7,Graduate
1,19,5,6,6,4,Dropout
0,20,4,5,5,4,Graduate
1,18,6,6,6,6,Graduate
0,20,5,8,7,7,Enrolled
0,18,7,8,7,8,Graduate
0,19,6,7,7,6,Graduate
0,19,6,6,6,5,Graduate
1,22,0,5,5,0,Enrolled
0,19,6,6,6,6,Graduate
0,19,7,8,7,8,Graduate
0,19,5,6,6,5,Graduate
0,19,0,5,5,0,Dropout
0,20,5,6,6,3,Dropout
0,18,5,5,5,5,Graduate
0,20,6,8,7,7,Graduate
0,18,0,0,0,0,Enrolled
0,19,5,5,5,5,Graduate
0,18,3,6,6,5,Enrolled
